date,horizon,signal,partial_ic
2026-07-17,10,rule5,0.0015774719930650922
2026-07-17,10,rule5_mom20,-0.003177951964458742
2026-07-17,20,mom20,-0.10823589611055998
2026-07-17,20,vol_ratio,0.11077644219241374
2026-07-17,20,squeeze,-0.01857198847856892
2026-07-17,20,composite,-0.04718315939286472
2026-07-17,20,mom5,-0.09327952992522942
2026-07-17,20,mom60_skip5,-0.05892919922886275
2026-07-17,20,mom60_riskadj,-0.0804720599482293
2026-07-17,20,vol_5_50,0.007016399724277644
2026-07-17,20,squeeze_own,0.03674354967817994
2026-07-17,20,near_high,-0.12339860508711624
2026-07-17,20,vs_sma50,-0.13492251833920668
2026-07-17,20,vs_sma20,-0.12341630581597424
2026-07-17,20,rule5,-0.06562831300517757
2026-07-17,20,rule5_mom20,-0.09168533264125772
2026-07-24,5,mom20,0.058171420506662325
2026-07-24,5,vol_ratio,0.058313734124187264
2026-07-24,5,squeeze,0.030658294060202398
2026-07-24,5,composite,0.05475076038430009
2026-07-24,5,mom5,-0.06445659054852185
2026-07-24,5,mom60_skip5,-0.000864821965446359
2026-07-24,5,mom60_riskadj,0.00876172458708151
2026-07-24,5,vol_5_50,0.02549047794516823
2026-07-24,5,squeeze_own,0.049433496007690717
2026-07-24,5,near_high,0.05013763388707415
2026-07-24,5,vs_sma50,0.08195563202329953
2026-07-24,5,vs_sma20,0.03045492284716714
2026-07-24,5,rule5,0.04107229622051617
2026-07-24,5,rule5_mom20,0.045432900821723216
2026-07-24,10,mom20,-0.09043723264559222
2026-07-24,10,vol_ratio,0.0863715816336404
2026-07-24,10,squeeze,-0.07743551572510271
2026-07-24,10,composite,-0.06698182719566785
2026-07-24,10,mom5,-0.02861248788822872
2026-07-24,10,mom60_skip5,-0.057775975540255264
2026-07-24,10,mom60_riskadj,-0.051925357578255484
2026-07-24,10,vol_5_50,-0.025283406845864928
2026-07-24,10,squeeze_own,0.020178984849925325
2026-07-24,10,near_high,-0.11375604198949414
2026-07-24,10,vs_sma50,-0.08238114613608957
2026-07-24,10,vs_sma20,-0.11824468563660713
2026-07-24,10,rule5,-0.08959461953586426
2026-07-24,10,rule5_mom20,-0.10122543786587007
2026-07-24,20,mom20,-0.025672552836216098
